strategy,range_seconds,max_entry_price,test_pnl,test_trades,test_wr,test_sharpe,test_profit_factor,test_max_dd,momentum_threshold,min_seconds_left,spike_threshold,confirmation_seconds
opening_breakout,60.0,0.75,6372.347416993387,1711,0.6960841613091759,127.62353302475996,2.2230054155138688,-0.004765725260795106,,,,
late_momentum,,,1795.4690816646216,505,0.691089108910891,62.726299708641164,2.148644430155472,-0.007922571908698828,0.0003,30.0,,
volume_spike,,,1366.1575045335776,385,0.6883116883116883,55.122556161715245,2.136192202705902,-0.007401414719219179,,,0.0005,5.0
opening_breakout,45.0,0.65,6054.6553254054215,1745,0.6830945558739255,118.06595365016568,2.0926890027188816,-0.005705568858906052,,,,
opening_breakout,45.0,0.6,6054.6553254054215,1745,0.6830945558739255,118.06595365016568,2.0926890027188816,-0.005705568858906052,,,,
opening_breakout,45.0,0.75,6054.6553254054215,1745,0.6830945558739255,118.06595365016568,2.0926890027188816,-0.005705568858906052,,,,
opening_breakout,45.0,0.7,6054.6553254054215,1745,0.6830945558739255,118.06595365016568,2.0926890027188816,-0.005705568858906052,,,,
late_momentum,,,1959.5362866751984,601,0.6755407653910149,62.39916295009239,2.002884634154868,-0.005238655073740439,0.0003,40.0,,
opening_breakout,30.0,0.75,5314.326715578434,1764,0.6598639455782312,102.08096564310901,1.8839532128374052,-0.007850504008516501,,,,
opening_breakout,30.0,0.6,5314.326715578434,1764,0.6598639455782312,102.08096564310901,1.8839532128374052,-0.007850504008516501,,,,
opening_breakout,30.0,0.65,5314.326715578434,1764,0.6598639455782312,102.08096564310901,1.8839532128374052,-0.007850504008516501,,,,
opening_breakout,30.0,0.7,5314.326715578434,1764,0.6598639455782312,102.08096564310901,1.8839532128374052,-0.007850504008516501,,,,
volume_spike,,,1159.0155807118535,388,0.6597938144329897,46.20841156927056,1.8762895275447977,-0.005616670178668515,,,0.0005,3.0
late_momentum,,,1879.3836109771437,642,0.6588785046728972,58.43779354775423,1.856453126157339,-0.009982264720526102,0.0002,20.0,,
late_momentum,,,2037.6148642266708,700,0.6571428571428571,60.40350589447808,1.8473115702872038,-0.011277835592093277,0.0003,50.0,,
volume_spike,,,2523.164747508723,914,0.6477024070021882,66.26978832698727,1.7820274815303303,-0.008521933203845311,,,0.0003,10.0
late_momentum,,,2181.5131931682663,811,0.6461159062885327,59.259692921700776,1.758591942654156,-0.008937987019207672,0.0002,30.0,,
late_momentum,,,2351.681067576992,936,0.6367521367521367,59.35656894605271,1.6902903215853544,-0.009212499750421044,0.0002,40.0,,
volume_spike,,,2371.9127064246004,943,0.6352067868504772,60.46838588214532,1.6881332411991699,-0.008669108875308251,,,0.0003,5.0
opening_breakout,15.0,0.7,4475.890294932506,1779,0.6346261944912872,85.02786938145115,1.6872240587951055,-0.007971537776293669,,,,
opening_breakout,15.0,0.75,4475.890294932506,1779,0.6346261944912872,85.02786938145115,1.6872240587951055,-0.007971537776293669,,,,
opening_breakout,15.0,0.6,4475.890294932506,1779,0.6346261944912872,85.02786938145115,1.6872240587951055,-0.007971537776293669,,,,
opening_breakout,15.0,0.65,4475.890294932506,1779,0.6346261944912872,85.02786938145115,1.6872240587951055,-0.007971537776293669,,,,
volume_spike,,,2312.2463828150176,953,0.6306400839454355,58.48297328831391,1.6555770228903024,-0.015681610893786835,,,0.0003,3.0
late_momentum,,,2469.778751431586,1047,0.6284622731614136,59.45742861829817,1.6336372887724753,-0.01127127620403301,0.0002,50.0,,
