window_start,LIVE_ORB,LIVE_VWM,LIVE_RENKO,CONSENSUS_2_OF_3,CHEAP_LEADER_PULLBACK,OPEN_FLIP_VALUE,LIVE_PRIORITY_PORTFOLIO
2026-04-08 22:40:00+00:00,26540.711127474995,19863.198102694605,18386.365188131007,23058.747856676986,30132.64314721226,11260.130497757536,26697.326027724303
2026-04-08 22:45:00+00:00,26530.711127474995,19863.198102694605,18386.365188131007,23058.747856676986,30122.64314721226,11260.130497757536,26687.326027724303
2026-04-08 22:50:00+00:00,26540.096876280535,19872.583851500145,18395.729449659273,23068.11211820526,30132.04531786873,11260.130497757536,26696.711776529843
2026-04-08 22:55:00+00:00,26549.498391535846,19881.980148149756,18405.10588033983,23077.488548885813,30141.442012986477,11260.130497757536,26706.113291785154
2026-04-08 23:00:00+00:00,26539.498391535846,19881.980148149756,18405.10588033983,23077.488548885813,30131.442012986477,11260.130497757536,26696.113291785154
2026-04-08 23:05:00+00:00,26539.498391535846,19881.980148149756,18405.10588033983,23077.488548885813,30140.84483284808,11250.130497757536,26696.113291785154
2026-04-08 23:10:00+00:00,26548.913418813463,19881.980148149756,18405.10588033983,23077.488548885813,30150.24680314986,11250.130497757536,26705.52831906277
2026-04-08 23:15:00+00:00,26538.913418813463,19881.980148149756,18405.10588033983,23077.488548885813,30140.24680314986,11259.520231397051,26695.52831906277
2026-04-08 23:20:00+00:00,26548.28165374242,19891.348383078715,18414.478080295175,23086.860748841158,30149.62088372825,11259.520231397051,26704.896553991726
2026-04-08 23:25:00+00:00,26557.681846084233,19891.348383078715,18414.478080295175,23086.860748841158,30159.0213046432,11259.520231397051,26714.29674633354
2026-04-08 23:30:00+00:00,26567.071156990525,19900.737693985007,18414.478080295175,23096.25005974745,30168.416575249677,11259.520231397051,26723.686057239833
2026-04-08 23:35:00+00:00,26576.45694800749,19910.12348500197,18423.85457754018,23105.626556992458,30177.804808914712,11259.520231397051,26733.071848256797
2026-04-08 23:40:00+00:00,26576.45694800749,19910.12348500197,18423.85457754018,23105.626556992458,30187.204760857803,11259.520231397051,26733.071848256797
2026-04-08 23:45:00+00:00,26585.85492395096,19910.12348500197,18423.85457754018,23105.626556992458,30196.60336468873,11259.520231397051,26742.469824200267
