sample_train,strategy,total_pnl_train,trades_train,win_rate_train,profit_factor_train,avg_profit_per_trade_train,max_drawdown_train,raw_5m_sharpe_train,avg_entry_price_train,avg_one_loss_wipes_out_wins_train,sample_test,total_pnl_test,trades_test,win_rate_test,profit_factor_test,avg_profit_per_trade_test,max_drawdown_test,raw_5m_sharpe_test,avg_entry_price_test,avg_one_loss_wipes_out_wins_test,slippage_cents,survived
TRAIN,LIVE_RENKO,13248.444247561372,1617,0.9400123685837971,14.6581899459396,8.193224642895123,-0.0020459805566178657,0.4813491758865609,0.5166495709906659,1.068900981625508,TEST,4983.25099192038,638,0.9200626959247649,10.771080376314478,7.810738231850132,-0.0019252918870683589,0.4365728638097734,0.5165405734512531,1.0684339703883257,1.0,True
TRAIN,OPEN_FLIP_VALUE,2533.751462224285,664,0.7123493975903614,2.3265714461907248,3.815890756361874,-0.0068989696821109,0.13063843321957735,0.515568134147497,1.0642748612896897,TEST,1297.873167697886,328,0.7195121951219512,2.4107317040194407,3.9569303893228223,-0.005906123514471728,0.1449449444876286,0.5155120537283242,1.0640350142865012,1.0,True
TRAIN,CHEAP_LEADER_PULLBACK,30603.374499651472,5182,0.8363566190659977,4.608888502317383,5.905707159330646,-0.0033263709083880544,0.6602289829624806,0.525784680494348,1.108750092142926,TEST,12038.699051113785,2153,0.8197863446353925,4.102757487400458,5.591592685143419,-0.003944804324773177,0.6181460701837808,0.5257508118767688,1.1085994426562715,2.0,True
TRAIN,LIVE_PRIORITY_PORTFOLIO,25150.537710190096,6132,0.7411937377690803,2.5847849848891027,4.101522783788333,-0.00431290393619288,0.45150705151141945,0.5255402126042928,1.1076631917080162,TEST,10057.22024356958,2615,0.7277246653919694,2.412530933085614,3.8459733245007928,-0.006175211796900282,0.44207535919550844,0.5255191269782215,1.1075693397464716,2.0,True
TRAIN,LIVE_ORB,24843.528836438825,6079,0.7404178318802435,2.5743681138427625,4.086778884099161,-0.004318520662472736,0.4480099083335568,0.5255397866538806,1.1076612953909248,TEST,9808.392739906398,2579,0.7254749903063202,2.385366206201468,3.8031767118675432,-0.006228240226691106,0.4326374177631897,0.5255186686579454,1.1075673067766991,2.0,True
TRAIN,CONSENSUS_2_OF_3,18790.276748714583,3314,0.824381412190706,4.228569888095287,5.669968843909045,-0.004542066542079115,0.46252346462067245,0.5259828004416589,1.1096367481589373,TEST,7290.424993291428,1326,0.8152337858220211,3.975683670731196,5.498058064322345,-0.004984456371310064,0.4556297393451334,0.5259317586433959,1.1094087438640685,2.0,True
TRAIN,LIVE_VWM,13623.525516414418,2739,0.7871485943775101,3.3367968295736548,4.973904898289306,-0.005470273873914744,0.3644685494625069,0.5256190717872254,1.1080136631251865,TEST,5236.8149732539205,1082,0.7800369685767098,3.20034242573694,4.8399399013437305,-0.006092652153704692,0.35075959968061987,0.5255808305035726,1.1078434403224806,2.0,True
TRAIN,LIVE_RENKO,12689.881163660102,1617,0.9400123685837971,14.082351715113514,7.847792927433587,-0.002088408661674035,0.4790327500393057,0.5266495709906658,1.1126089568173203,TEST,4767.455803912595,638,0.9200626959247649,10.34795255669136,7.472501260051088,-0.0019286326773799711,0.4326831390516723,0.5265405734512532,1.112121994448266,2.0,True
TRAIN,OPEN_FLIP_VALUE,2359.213211574217,664,0.7123493975903614,2.235190163127862,3.553031945141893,-0.007378287579306919,0.12492684295120504,0.5255681341474969,1.1077853681311107,TEST,1210.7623952101985,328,0.7195121951219512,2.3160460817502164,3.691348765884753,-0.0060642496691381,0.13884115098654043,0.5255120537283242,1.1075352842749389,2.0,True
TRAIN,CHEAP_LEADER_PULLBACK,26154.637877815992,5182,0.8363566190659977,4.0842733346481,5.047209162064047,-0.003496297658922898,0.6168560469140073,0.555784680494348,1.2511646461615324,TEST,10226.743210013716,2153,0.8197863446353925,3.6357585592818884,4.749996846267406,-0.004176478172490561,0.5656678342471745,0.5557508118767688,1.2509929582646246,5.0,True
TRAIN,LIVE_PRIORITY_PORTFOLIO,20481.601922890182,6132,0.7411937377690803,2.2905861325072596,3.3401177304126244,-0.004746162597308201,0.3962955719030133,0.5555402126042928,1.249925996099201,TEST,8102.134456393214,2615,0.7277246653919694,2.1379402326394947,3.0983305760585855,-0.007124933623654406,0.37952111332988164,0.5555191269782215,1.2498190326618555,5.0,True
TRAIN,LIVE_ORB,20219.781349045606,6079,0.7404178318802435,2.2813549650852742,3.326168999678504,-0.004746162597308201,0.39300235414829177,0.5555397866538806,1.249923834832236,TEST,7886.181012981557,2579,0.7254749903063202,2.113867374714907,3.0578445184108345,-0.007182010486118662,0.3707325271072729,0.5555186686579454,1.2498167162247291,5.0,True
TRAIN,CONSENSUS_2_OF_3,15988.72787235082,3314,0.824381412190706,3.7472041017785007,4.824601047782401,-0.005198014572938892,0.429809358061063,0.5559828004416589,1.2521755453331442,TEST,6181.632068146075,1326,0.8152337858220211,3.52311512985554,4.661864304785877,-0.00498905228532609,0.4193373207301861,0.555931758643396,1.2519156245169618,5.0,True
TRAIN,LIVE_VWM,11409.289430855632,2739,0.7871485943775101,2.9569964718448807,4.165494498304364,-0.006154700620263576,0.33188770381845256,0.5556190717872255,1.250325388671786,TEST,4369.867674372086,1082,0.7800369685767098,2.8360788547781905,4.038694708292138,-0.006395654713742149,0.31680889414468233,0.5555808305035727,1.2501313840347974,5.0,True
