sample,strategy,entry_idx,exit_idx,side,entry_price,exit_price,exit_type,pnl
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5058615784842727,1.0,settlement,9.748253659357331
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5082276340289147,1.0,settlement,9.6562224846496
TRAIN,late_limit_97_to_99,270.0,,UP,0.5060251449104467,1.0,settlement,9.741863813644557
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5068387879535966,1.0,settlement,9.71013951906843
TRAIN,late_limit_97_to_99,270.0,,UP,0.5075404568711531,1.0,settlement,9.682862825255825
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5064014116643668,1.0,settlement,9.727180338880668
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5064549553146237,1.0,settlement,9.725092618923487
TRAIN,late_limit_97_to_99,270.0,,UP,0.5061101745822532,1.0,settlement,9.738543697040015
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5075039839958572,1.0,settlement,9.684278814255833
TRAIN,late_limit_97_to_99,270.0,,UP,0.5077909036600584,1.0,settlement,9.673145205874974
TRAIN,late_limit_97_to_99,270.0,,UP,0.5079464672985439,1.0,settlement,9.6671139850305
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.505597281627178,1.0,settlement,9.758587352797306
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5056112957523852,1.0,settlement,9.758039145900206
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5055776958203083,1.0,settlement,9.759353564588785
TRAIN,late_limit_97_to_99,270.0,,UP,0.5066949868521329,1.0,settlement,9.715738974102514
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5069984533375453,1.0,settlement,9.703926047841968
TRAIN,late_limit_97_to_99,270.0,,UP,0.5077370689768103,1.0,settlement,9.675233243757365
TRAIN,late_limit_97_to_99,270.0,,UP,0.5067918903436314,1.0,settlement,9.7119653106909
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5050893771022098,1.0,settlement,9.77847617736851
