strategy,measure_sec,entry_idx,min_range,total_pnl,trades,win_rate,profit_factor,sharpe,max_drawdown,avg_outcome
confirmation,120,210,0.0005,1418357.0810051996,3724,0.7013963480128894,2.272955062002973,54.45588186218784,-0.09408812653815812,0.7013963480128894
chop_only,120,210,0.0005,1418357.0810051996,3724,0.7013963480128894,2.272955062002973,54.45588186218784,-0.09408812653815812,0.7013963480128894
all_patterns,90,120,0.0006,1410763.9982040697,3914,0.6903423607562595,2.161673351485205,51.154680712997404,-0.10164196606734921,0.6903423607562595
all_patterns,90,120,0.0005,1410763.9982040697,3914,0.6903423607562595,2.161673351485205,51.154680712997404,-0.10164196606734921,0.6903423607562595
all_patterns,90,120,0.0004,1410763.9982040697,3914,0.6903423607562595,2.161673351485205,51.154680712997404,-0.10164196606734921,0.6903423607562595
all_patterns,90,120,0.0003,1410763.9982040697,3914,0.6903423607562595,2.161673351485205,51.154680712997404,-0.10164196606734921,0.6903423607562595
all_patterns,90,150,0.0006,1409730.4272692818,3914,0.6903423607562595,2.1608222723441575,51.146218890529816,-0.10165478794934069,0.6903423607562595
all_patterns,90,150,0.0005,1409730.4272692818,3914,0.6903423607562595,2.1608222723441575,51.146218890529816,-0.10165478794934069,0.6903423607562595
all_patterns,90,150,0.0004,1409730.4272692818,3914,0.6903423607562595,2.1608222723441575,51.146218890529816,-0.10165478794934069,0.6903423607562595
all_patterns,90,150,0.0003,1409730.4272692818,3914,0.6903423607562595,2.1608222723441575,51.146218890529816,-0.10165478794934069,0.6903423607562595
all_patterns,90,180,0.0006,1407852.8507191872,3914,0.6903423607562595,2.1592762089016593,51.12581972503689,-0.1016523361406445,0.6903423607562595
all_patterns,90,180,0.0005,1407852.8507191872,3914,0.6903423607562595,2.1592762089016593,51.12581972503689,-0.1016523361406445,0.6903423607562595
all_patterns,90,180,0.0004,1407852.8507191872,3914,0.6903423607562595,2.1592762089016593,51.12581972503689,-0.1016523361406445,0.6903423607562595
all_patterns,90,180,0.0003,1407852.8507191872,3914,0.6903423607562595,2.1592762089016593,51.12581972503689,-0.1016523361406445,0.6903423607562595
all_patterns,90,210,0.0006,1405791.2370322715,3914,0.6903423607562595,2.1575786027221735,51.10822424162234,-0.10167472509950881,0.6903423607562595
all_patterns,90,210,0.0005,1405791.2370322715,3914,0.6903423607562595,2.1575786027221735,51.10822424162234,-0.10167472509950881,0.6903423607562595
all_patterns,90,210,0.0004,1405791.2370322715,3914,0.6903423607562595,2.1575786027221735,51.10822424162234,-0.10167472509950881,0.6903423607562595
all_patterns,90,210,0.0003,1405791.2370322715,3914,0.6903423607562595,2.1575786027221735,51.10822424162234,-0.10167472509950881,0.6903423607562595
confirmation,90,120,0.0004,1338000.4099451203,3971,0.6784185343742131,2.045677173409734,49.56603303584621,-0.1349037550052704,0.6784185343742131
chop_only,90,120,0.0004,1338000.4099451203,3971,0.6784185343742131,2.045677173409734,49.56603303584621,-0.1349037550052704,0.6784185343742131
chop_only,90,150,0.0004,1336973.7616234964,3971,0.6784185343742131,2.0448748248401376,49.55896695090244,-0.13491772116292933,0.6784185343742131
confirmation,90,150,0.0004,1336973.7616234964,3971,0.6784185343742131,2.0448748248401376,49.55896695090244,-0.13491772116292933,0.6784185343742131
confirmation,90,180,0.0004,1335096.7956270704,3971,0.6784185343742131,2.0434079340356655,49.543480979967306,-0.13489132857486485,0.6784185343742131
chop_only,90,180,0.0004,1335096.7956270704,3971,0.6784185343742131,2.0434079340356655,49.543480979967306,-0.13489132857486485,0.6784185343742131
chop_only,90,210,0.0004,1333060.370767293,3971,0.6784185343742131,2.041816422571689,49.529331306972324,-0.134912049038589,0.6784185343742131
confirmation,90,210,0.0004,1333060.370767293,3971,0.6784185343742131,2.041816422571689,49.529331306972324,-0.134912049038589,0.6784185343742131
confirmation,120,120,0.0006,1256165.4519393418,3195,0.7070422535211267,2.3393783500726557,52.99170892152481,-0.10172378523095704,0.7070422535211267
chop_only,120,120,0.0006,1256165.4519393418,3195,0.7070422535211267,2.3393783500726557,52.99170892152481,-0.10172378523095704,0.7070422535211267
chop_only,120,150,0.0006,1255096.4762400924,3195,0.7070422535211267,2.338238561594858,52.98503057202002,-0.10174441005998347,0.7070422535211267
confirmation,120,150,0.0006,1255096.4762400924,3195,0.7070422535211267,2.338238561594858,52.98503057202002,-0.10174441005998347,0.7070422535211267
confirmation,120,180,0.0006,1253552.871709155,3195,0.7070422535211267,2.336592703171815,52.97429636011168,-0.10178197863903482,0.7070422535211267
chop_only,120,180,0.0006,1253552.871709155,3195,0.7070422535211267,2.336592703171815,52.97429636011168,-0.10178197863903482,0.7070422535211267
chop_only,120,210,0.0006,1251657.5796249867,3195,0.7070422535211267,2.334571860152546,52.963097075518,-0.10182440711774388,0.7070422535211267
